"888fb4a4-7adf-47a1-8ba2-c258cc64fd75","Main Street Vehicles","ATTRACTION","75ea578a-adc8-4116-a54d-dccb60765ef9","80010165;entityType=Attraction","CLOSED","2024-07-26T16:16:10Z","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-05-13 15:46:07.975568
"55bdcccc-217b-416c-b8b0-4b6a87d16179","Cinderella's Royal Table","RESTAURANT","75ea578a-adc8-4116-a54d-dccb60765ef9","90002464;entityType=restaurant","OPERATING","2025-05-13T14:21:02Z","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-05-13 15:46:07.975568
"f163ddcd-43e1-488d-8276-2381c1db0a39","Tomorrowland Speedway","ATTRACTION","75ea578a-adc8-4116-a54d-dccb60765ef9","80010222;entityType=Attraction","OPERATING","2025-05-13T19:41:04Z","c(\"2025-05-13T09:00:00-04:00\", \"2025-05-13T10:00:00-04:00\", \"2025-05-13T11:00:00-04:00\", \"2025-05-13T12:00:00-04:00\", \"2025-05-13T13:00:00-04:00\", \"2025-05-13T14:00:00-04:00\", \"2025-05-13T15:00:00-04:00\", \"2025-05-13T16:00:00-04:00\", \"2025-05-13T17:00:00-04:00\", \"2025-05-13T18:00:00-04:00\", \"2025-05-13T19:00:00-04:00\", \"2025-05-13T20:00:00-04:00\", \"2025-05-13T21:00:00-04:00\"), c(10, 20, 25, 30, 20, 20, 20, 20, 20, 20, 20, 15, 10), c(8, 17, 21, 25, 17, 17, 17, 17, 17, 17, 17, 12, 8)","c(\"Early Entry\", \"Operating\"), c(\"2025-05-13T09:00:00-04:00\", \"2025-05-13T22:00:00-04:00\"), c(\"2025-05-13T08:30:00-04:00\", \"2025-05-13T09:00:00-04:00\")","","",10,"AVAILABLE",NA,"2025-05-13T17:35:00-04:00",NA,NA,NA,NA,NA,NA,2025-05-13 15:46:07.975568
"697473c5-ae17-4c3f-80c7-09a813248013","The Diamond Horseshoe","RESTAURANT","75ea578a-adc8-4116-a54d-dccb60765ef9","247904;entityType=restaurant","OPERATING","2025-05-13T19:46:03Z","","","c(40, 10, 10, 10, 10, 10), 1:6","",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-05-13 15:46:07.975568
"7c5e1e02-3a44-4151-9005-44066d5ba1da","Mickey's PhilharMagic","ATTRACTION","75ea578a-adc8-4116-a54d-dccb60765ef9","80010170;entityType=Attraction","OPERATING","2025-05-13T19:46:04Z","c(\"2025-05-13T09:00:00-04:00\", \"2025-05-13T10:00:00-04:00\", \"2025-05-13T11:00:00-04:00\", \"2025-05-13T12:00:00-04:00\", \"2025-05-13T13:00:00-04:00\", \"2025-05-13T14:00:00-04:00\", \"2025-05-13T15:00:00-04:00\", \"2025-05-13T16:00:00-04:00\", \"2025-05-13T17:00:00-04:00\", \"2025-05-13T18:00:00-04:00\", \"2025-05-13T19:00:00-04:00\", \"2025-05-13T20:00:00-04:00\", \"2025-05-13T21:00:00-04:00\"), c(15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15), c(12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12)","c(\"Early Entry\", \"Operating\"), c(\"2025-05-13T09:00:00-04:00\", \"2025-05-13T22:00:00-04:00\"), c(\"2025-05-13T08:30:00-04:00\", \"2025-05-13T09:00:00-04:00\")","","",15,"AVAILABLE",NA,"2025-05-13T15:50:00-04:00",NA,NA,NA,NA,NA,NA,2025-05-13 15:46:07.975568
"b2260923-9315-40fd-9c6b-44dd811dbe64","Space Mountain","ATTRACTION","75ea578a-adc8-4116-a54d-dccb60765ef9","80010190;entityType=Attraction","OPERATING","2025-05-13T19:46:04Z","c(\"2025-05-13T09:00:00-04:00\", \"2025-05-13T10:00:00-04:00\", \"2025-05-13T11:00:00-04:00\", \"2025-05-13T12:00:00-04:00\", \"2025-05-13T13:00:00-04:00\", \"2025-05-13T14:00:00-04:00\", \"2025-05-13T15:00:00-04:00\", \"2025-05-13T16:00:00-04:00\", \"2025-05-13T17:00:00-04:00\", \"2025-05-13T18:00:00-04:00\", \"2025-05-13T19:00:00-04:00\", \"2025-05-13T20:00:00-04:00\", \"2025-05-13T21:00:00-04:00\"), c(30, 40, 45, 50, 50, 45, 40, 45, 40, 50, 45, 35, 30), c(25, 34, 38, 43, 43, 38, 34, 38, 34, 43, 38, 30, 25)","c(\"Early Entry\", \"Operating\"), c(\"2025-05-13T09:00:00-04:00\", \"2025-05-13T22:00:00-04:00\"), c(\"2025-05-13T08:30:00-04:00\", \"2025-05-13T09:00:00-04:00\")","","",45,"AVAILABLE",NA,"2025-05-13T20:10:00-04:00",NA,NA,NA,NA,NA,NA,2025-05-13 15:46:07.975568
"e847a8bd-7d21-432b-a7a1-f483517a22b5","Be Our Guest Restaurant","RESTAURANT","75ea578a-adc8-4116-a54d-dccb60765ef9","16660079;entityType=restaurant","OPERATING","2025-05-13T19:46:04Z","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-05-13 15:46:07.975568
"e39b831b-7731-49bb-815b-289b4f49a9fd","Walt Disney World Railroad - Main Street, U.S.A.","ATTRACTION","75ea578a-adc8-4116-a54d-dccb60765ef9","80010230;entityType=Attraction","OPERATING","2025-05-13T18:01:03Z","","Operating, 2025-05-13T19:00:00-04:00, 2025-05-13T09:00:00-04:00","","",20,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-05-13 15:46:07.975568
"f819079e-644e-4fce-bda3-26b899ac7027","Disney Adventure Friends Cavalcade","SHOW","75ea578a-adc8-4116-a54d-dccb60765ef9","411550122;entityType=Entertainment","OPERATING","2025-05-13T04:31:05Z","","","","c(\"Performance Time\", \"Performance Time\"), c(\"2025-05-13T10:30:00-04:00\", \"2025-05-13T11:45:00-04:00\"), c(\"2025-05-13T10:30:00-04:00\", \"2025-05-13T11:45:00-04:00\")",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-05-13 15:46:07.975568
"ee56b2f3-fd49-4a29-ae1a-2d321549a633","Disney Festival of Fantasy Parade","SHOW","75ea578a-adc8-4116-a54d-dccb60765ef9","17718925;entityType=Entertainment","OPERATING","2025-05-13T04:31:04Z","","","","Performance Time, 2025-05-13T15:00:00-04:00, 2025-05-13T15:00:00-04:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-05-13 15:46:07.975568
